country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Turkey,,,,,,,,,,,,,,,,,,,20.3,16.5,12.3,16.7,32.2,12.2,44,25.4,24,15,21.7,24,31.6,28.9,41.8,15.3,35.7,38.9,23.5,35.8,20.4,23.4,21.9,19.8,26.5,19.2,24.3,33
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1.73,2.93,,,,,,,,,,,,,,,,,,,9.81
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,15.1,,11.6,9.17,6.28,4.77,4.64,3.37,,
Uruguay,,,,,,,,,,,,,,,,,,,,,6.74,1.38,,,,,,,,,,,,,,,,,,,,,,,,
USA,41.8,47.1,40.1,36.7,37.8,47.6,39.4,43.6,49.8,39.7,53,55.4,52.1,53.1,60,51.9,67.5,69.7,76.6,70.5,91,105,126,143,153,147,132,101,125,134,130,142,138,78.5,104,115,100,115,143,150,138,146,165,148,159,193
Venezuela,,,,,,,,,,,,,,,,,,,13,8.44,5.54,14.3,17,8.3,7.61,6.91,5.06,4.28,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,31.4,25,15,18.8,21.1,22.5,24.5,28.5,44.5,42.8,44.8,53.7
South Africa,56.2,47.9,53.1,60,70.5,62.4,80.4,90.6,86,62.9,86,140,144,121,135,109,137,112,147,169,162,148,136,110,171,135,109,141,132,173,190,234,249,153,242,222,172,209,235,245,212,294,323,214,271,311
Zambia,,,,,,,,,,,,,,,,,,,,,11.2,6.03,11.7,8.08,8.04,,7.33,,15.4,26.5,30.2,23.1,,,,,13.6,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,21.9,24.5,30,42.5,22.6,14.9,35.9,,,,,,,,,,,,,,,,,,,,,
